trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.5, 'e': 0.9602936856769431}",20,0,-107.27307032934073,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.958819734868193}",20,0,-194.10476440545142,"{0: 7, 1: 3, 2: 5, 3: 3, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9573194975320672}",25,0,-170.54976684675793,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9557930147983301}",20,0,-66.79752098942241,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9542403285162769}",20,0,-73.1250809286845,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9526614812535863}",20,0,-41.96749954247828,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.9510565162951535}",25,0,-110.06428119684738,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9494254776419039}",25,0,-108.72958553188641,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9477684100095857}",30,0,-121.94396649846537,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.9460853588275453}",20,0,-142.82346063569662,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.9443763702374811}",35,0,-234.39853136379696,"{0: 22, 1: 1, 2: 6, 3: 2, 4: 4}",0
66,False,"{'a': 0.5, 'e': 0.9426414910921784}",25,9,-117.03170320061297,"{0: 7, 1: 4, 2: 3, 3: 0, 4: 2}",1
67,False,"{'a': 0.5, 'e': 0.9408807689542255}",20,0,-125.61514029263513,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
68,False,"{'a': 0.5, 'e': 0.9390942520947091}",20,0,-87.92416812391004,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.9372819894918916}",30,12,-22.523290889954097,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.9354440308298674}",25,0,-140.4038065857165,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
